"Demographische Komponente";"Wohnkanton";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010"
"Mittlere Wohnbevölkerung";"Schweiz";6796279;6880088;6943095;6988858;7036852;7080948;7105446;7113373;7131888;7166738;7209042;7285214;7342981;7405051;7454112;7501255;7557609;7618599;7711056;7801278;7877571
"Mittlere Wohnbevölkerung";"Zürich";1157168;1168523;1174693;1176983;1181254;1187854;1194146;1197445;1201184;1209530;1222210;1242020;1257924;1271011;1281018;1292481;1306603;1322842;1347351;1366821;1383661
"Mittlere Wohnbevölkerung";"Bern / Berne";949426;960706;964944;966049;951669;951804;950662;947632;947369;949795;950609;952877;955428;958646;961647;963657;966743;969907;974591;979554;983453
"Mittlere Wohnbevölkerung";"Luzern";320625;325991;330867;334503;337273;339560;340867;341299;341873;343180;344987;348863;351394;352708;353891;355766;358257;361924;366425;370931;375155
"Mittlere Wohnbevölkerung";"Uri";34066;34675;34882;34960;35176;35176;35054;34876;34712;34560;34407;34562;34544;34740;34765;34652;34575;34447;34648;34772;34750
"Mittlere Wohnbevölkerung";"Schwyz";110879;112954;115347;117390;119426;121290;122633;123846;125123;126680;128428;129616;131660;133681;135175;136509;138160;139874;142033;143699;145209
"Mittlere Wohnbevölkerung";"Obwalden";29313;29761;30387;30836;31041;31323;31423;31550;31780;31952;32169;32484;32769;33015;33050;33078;33405;33785;34137;34667;35202
"Mittlere Wohnbevölkerung";"Nidwalden";32902;33377;33954;34383;34959;35482;35838;36133;36296;36549;36869;37665;38121;38385;38741;39094;39374;39566;39913;40164;40238
"Mittlere Wohnbevölkerung";"Glarus";37974;38501;38817;38914;39148;39254;39029;38535;38281;38305;38207;38058;38156;38283;38273;38098;38001;38034;38165;38259;38448
"Mittlere Wohnbevölkerung";"Zug";85455;85897;86965;88197;89816;91619;93247;94450;95745;97049;98481;100557;101857;103156;104680;106350;107352;108826;110390;111151;111918
"Mittlere Wohnbevölkerung";"Fribourg / Freiburg";208159;212370;215947;219741;223250;226088;228777;230998;232947;235151;237134;241822;245182;248511;251943;255462;259775;264151;268830;273855;278591
"Mittlere Wohnbevölkerung";"Solothurn";226323;230597;233063;234431;235690;237008;238578;239347;240662;241747;242193;243348;244774;245673;246139;246852;247562;249005;250590;252083;253370
"Mittlere Wohnbevölkerung";"Basel-Stadt";192674;199359;200463;200904;200767;199952;198818;196845;194816;192347;190610;191108;190544;190718;190948;190536;190324;189777;190531;192068;193627
"Mittlere Wohnbevölkerung";"Basel-Landschaft";230792;230895;231660;232642;249390;250226;251515;252592;253873;255485;257000;259718;261097;262913;264028;264664;265829;267247;269249;271125;272506
"Mittlere Wohnbevölkerung";"Schaffhausen";71897;72090;72626;73063;73519;73664;73556;73343;73233;73115;72852;73390;73687;74175;74165;74116;74335;74598;75045;75691;76106
"Mittlere Wohnbevölkerung";"Appenzell Ausserrhoden";51658;52143;53045;53668;54002;54009;53847;53673;53496;53390;53167;52924;52732;52701;52540;52410;52280;52345;52517;52681;52590
"Mittlere Wohnbevölkerung";"Appenzell Innerrhoden";13768;13978;14145;14307;14372;14382;14434;14457;14487;14520;14663;14724;14706;14676;14675;14987;15140;15028;15147;15517;15813
"Mittlere Wohnbevölkerung";"St. Gallen";421766;427500;432835;435992;439650;442073;443395;443320;443838;445797;447670;452894;455479;457879;459377;460917;463020;465852;470268;474316;477196
"Mittlere Wohnbevölkerung";"Graubünden / Grigioni / Grischun";180038;180530;183100;185163;187809;189247;189284;187781;187288;187572;188098;189967;190144;191196;191618;191297;191441;191878;193035;194753;195401
"Mittlere Wohnbevölkerung";"Aargau";496867;503740;510016;515152;520085;525360;528860;530936;533198;536746;540445;547727;553404;558885;563334;567228;572719;578790;587471;596795;604329
"Mittlere Wohnbevölkerung";"Thurgau";205281;210124;212960;215847;219114;222374;224256;224960;225717;226619;227047;228174;229253;231461;232953;234021;235922;238141;240656;244069;246856
"Mittlere Wohnbevölkerung";"Ticino";289766;286067;289239;294292;297329;300446;301393;301139;301781;303836;308467;310964;312962;316521;319394;322145;324837;327632;331600;333567;336896
"Mittlere Wohnbevölkerung";"Vaud";587792;599476;605664;607266;610641;614807;616802;617219;619893;623912;628501;634875;640842;648526;656405;663530;671432;678143;690870;704916;716483
"Mittlere Wohnbevölkerung";"Valais / Wallis";254749;256340;259682;264016;266541;268692;269357;269437;270347;271444;272524;275765;278762;283590;286549;289527;293304;296923;301045;305178;309325
"Mittlere Wohnbevölkerung";"Neuchâtel";161286;162707;163814;164240;164944;165638;166079;165877;165956;166096;166092;166939;167553;168171;168676;169259;169407;169895;171095;172263;172378
"Mittlere Wohnbevölkerung";"Genève";379779;385645;387194;388779;392531;395876;395972;398300;400623;404080;409048;416356;422193;427914;432235;436721;439785;441756;446957;453674;459210
"Mittlere Wohnbevölkerung";"Jura";65876;66142;66786;67140;67456;67744;67624;67383;67370;67281;67164;67817;67814;67916;67893;67898;68027;68233;68497;68709;68860
