Saisonbeginn,Saisonende,,Name,Vorname,Geb.Datum,Einsätze,Tore,Vorlagen
2003,2004,,Rochat,Alain,,20,1,
2003,2004,,Rochat,Alain,,35,,
2003,2004,,Wölfli,Marco,22/08/1982,34,,
2004,2005,,Rochat,Alain,,33,2,
2004,2005,,Wölfli,Marco,22/08/1982,15,,
2005,2006,,Aebi,Dominique,04/05/1988,0,0,0
2005,2006,,Aziawonou,Yao,30/11/1979,22,0,3
2005,2006,,Battista,Daniele,08/03/1989,0,0,0
2005,2006,,Bettoni,Patrick,29/12/1975,1,0,0
2005,2006,,Cökmüs,Ferhat,14/02/1985,1,0,0
2005,2006,,De Napoli,Patrick,17/11/1975,1,0,0
2005,2006,,Disler,Mark,26/03/1974,1,0,0
2005,2006,,Eugster,Adrian,27/03/1978,5,0,0
2005,2006,,Everson,,10/11/1975,9,2,0
2005,2006,,Friedli,Roman,13/03/1979,0,0,0
2005,2006,,Gerhardt,Patrick,31/07/1985,1,0,0

