Week,Pokémon Go,WhatsApp,Facebook,Tinder
2015-07-26,0,45,54,0
2015-08-02,0,75,48,0
2015-08-09,0,53,50,0
2015-08-16,0,58,63,0
2015-08-23,0,56,67,8
2015-08-30,0,48,46,0
2015-09-06,0,68,61,0
2015-09-13,0,52,84,0
2015-09-20,0,41,73,0
2015-09-27,0,59,33,0
2015-10-04,0,58,54,0
2015-10-11,0,36,49,0
2015-10-18,0,58,35,0
2015-10-25,0,68,60,0
2015-11-01,0,37,57,6
2015-11-08,6,52,62,6
2015-11-15,5,49,63,5
2015-11-22,5,29,43,5
2015-11-29,0,47,47,5
2015-12-06,0,47,39,5
2015-12-13,0,77,30,5
2015-12-20,0,73,50,5
2015-12-27,0,66,43,5
2016-01-03,0,59,59,5
2016-01-10,5,44,56,5
2016-01-17,5,54,67,5
2016-01-24,5,53,60,5
2016-01-31,5,73,35,5
2016-02-07,5,57,81,5
2016-02-14,0,69,71,5
2016-02-21,0,42,48,0
2016-02-28,0,48,57,0
2016-03-06,0,54,71,0
2016-03-13,0,51,70,0
2016-03-20,0,79,69,0
2016-03-27,0,60,50,0
2016-04-03,0,45,71,0
2016-04-10,0,56,73,5
2016-04-17,0,54,68,5
2016-04-24,5,61,47,5
2016-05-01,5,70,60,5
2016-05-08,5,60,60,5
2016-05-15,5,51,62,5
2016-05-22,5,60,53,5
2016-05-29,5,51,46,5
2016-06-05,5,53,69,5
2016-06-12,5,56,61,5
2016-06-19,5,60,55,5
2016-06-26,5,52,55,5
2016-07-03,22,62,85,5
2016-07-10,100,58,43,5
2016-07-17,61,82,56,7
